Reference_Article	Code_Barre	Type_Article	Nom_Article	Dominant	Saison	Genre	Famille	Couleur	Marque	Nom_Fournisseur	Description	Declinaison	TauxTaxe_TVA	PrixVente_TTC	DateApplication_PrixVente	QteEnStock
5012202322007	5012202322045	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Washing Machine:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012202422042	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Washing Machine:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012202522049	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Washing Machine:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012202322052	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/BROWN	Modèle=Washing Machine:Taille=M:Couleur_Texture=BROWN:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012202422059	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/BROWN	Modèle=Washing Machine:Taille=M:Couleur_Texture=BROWN:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012202522056	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/BROWN	Modèle=Washing Machine:Taille=M:Couleur_Texture=BROWN:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012202322069	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/NAVY	Modèle=Washing Machine:Taille=M:Couleur_Texture=NAVY:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012202422066	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/NAVY	Modèle=Washing Machine:Taille=M:Couleur_Texture=NAVY:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012202522063	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/NAVY	Modèle=Washing Machine:Taille=M:Couleur_Texture=NAVY:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012202323042	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13L/DEEP HEATHER	Modèle=Washing Machine:Taille=L:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	13000	01/04/15	10
